
Wed Jan 31 11:09:50.381 GMT-7

Interface                      IP-Address      Status          Protocol Vrf-Name
Bundle-Ether25.2867            10.196.46.3     Down            Down     VRF_4G_SER
Bundle-Ether25.2868            10.196.47.3     Down            Down     VRF_PS_CPUP
Bundle-Ether25.2869            10.196.48.3     Down            Down     VRF_INT_5GC
Bundle-Ether25.2870            10.196.52.3     Down            Down     VRF_4G_SER
Bundle-Ether25.2871            10.196.52.11    Down            Down     VRF_INT_5GC
Bundle-Ether25.2872            10.196.32.83    Down            Down     VRF_5GC_PS_CHARG
Bundle-Ether25.2873            10.196.52.83    Down            Down     VRF_4G_SER
Bundle-Ether25.2874            10.196.52.91    Down            Down     VRF_4G_SER
Bundle-Ether25.2875            10.196.52.99    Down            Down     VRF_INT_5GC
Bundle-Ether25.2876            10.196.52.107   Down            Down     VRF_5GC_PS_MPBN
Bundle-Ether25.2890            10.196.41.3     Down            Down     VRF_4G_SER
Bundle-Ether25.2891            10.196.42.3     Down            Down     VRF_5GC_PS_MPBN
Bundle-Ether25.2892            10.196.43.3     Down            Down     VRF_INT_5GC
Bundle-Ether25.2893            10.196.53.3     Down            Down     VRF_PS_CPUP
Bundle-Ether50.1000            10.192.72.166   Down            Down     VRF_4G_SER
Bundle-Ether50.1001            10.192.72.174   Down            Down     VRF_4G_SER
Bundle-Ether50.1002            10.192.72.182   Down            Down     VRF_4G_SER
Bundle-Ether50.1003            10.192.72.190   Down            Down     VRF_4G_SER
